lower,Date,Stars,Title
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
potting mix plants r growing fast healthy blooming every day Happy hv purchased Thank Amazon Ugaoo,27/06/2024,5.0,"5.0 out of 5 stars
Very good  potting mix"
Though product This second time one packet mix torn quantity less Utmost care monitoring required packing orders disappointed regarding,04/06/2024,3.0,"3.0 out of 5 stars
Damaged packet with less than printed quantity."
The media could loaded Good qualityAap sabhi le sakte ho ,12/07/2024,4.0,"4.0 out of 5 stars
Good quality"
Quality Quantity Rate Excellent,12/07/2024,5.0,"5.0 out of 5 stars
Excellent"
WAS A GOOD MIXTURE EASY TO USE AND HAVE GOT GOOD RESULTS,25/06/2024,5.0,"5.0 out of 5 stars
GOOD PRODUCT"
Good,22/07/2024,4.0,"4.0 out of 5 stars
Good"
Its mixture red mud dried cows dung gobar,06/07/2024,5.0,"5.0 out of 5 stars
Excellent"
I bought 5 kg home garden ordered,09/06/2024,5.0,"5.0 out of 5 stars
Good soil"
Nice clean bit high priced,20/06/2024,4.0,"4.0 out of 5 stars
Good quality but expensive"
product,25/07/2024,5.0,"5.0 out of 5 stars
Amazing"
